XIST	EIF1AY	KDM5D	UTY	DDX3Y	RPS4Y1	sex
25	1199	8216	1778	8370	14719	male
107	1298	6321	1368	7530	15832	male
37	1678	7278	1258	8833	11497	male
24	638	4052	1214	6531	11500	male
533	1389	5780	1276	6550	6877	male
18	2436	12275	1554	8774	13236	male
35	1003	5929	1625	5558	18159	male
12	591	4807	1888	5563	11061	male
44	1108	5931	1642	6084	13185	male
11	1683	2958	1086	3693	7274	male
15	1464	8020	1175	7967	7727	male
11	458	2663	711	1988	5591	male
5	828	1839	870	4006	17408	male
45	983	7127	1418	7124	9886	male
20	3265	3038	556	2591	4988	male
21	1060	4871	2640	6121	10088	male
8	1605	5990	1606	5317	5573	male
13	1356	639	177	438	1258	male
11	1129	2438	1210	5778	29672	male
12	1331	2814	586	4363	7694	male
22	1531	4376	932	5662	9568	male
7	1623	3515	981	4377	12060	male
10	1595	4438	831	5636	8064	male
13	2971	4976	932	6552	9887	male
8	1543	4854	698	4915	7676	male
16	646	5417	2172	5582	13205	male
86	923	6967	1583	7165	13388	male
27	2174	2704	1213	3667	7714	male
26	6803	3778	812	4608	8134	male
24	757	6893	1325	6998	13720	male
28	1018	7517	1877	12399	16094	male
49	1153	7344	858	7766	10919	male
20	1182	7301	2242	9320	19300	male
64	1471	8938	1147	10348	15706	male
5	614	4557	2225	6895	12340	male
5	1022	5315	1698	4046	9575	male
6	2535	8781	1971	12452	9097	male
4	801	5628	908	4570	4730	male
20	526	5525	845	9655	4535	male
0	918	4800	1087	2152	11674	male
9	670	1609	711	4418	19063	male
12	857	2321	549	1862	5201	male
9	1052	2844	564	2687	6831	male
15	728	2672	544	2294	5961	male
27	1659	4573	932	3292	7523	male
17	672	1979	459	1786	4734	male
16	788	3209	1542	4693	12032	male
14	999	4660	1102	5177	9985	male
82	852	6808	1806	5860	8429	male
14	1931	5490	1199	9126	10012	male
10	957	6498	2359	8022	15186	male
12	3072	2352	1577	2002	8536	male
56	824	5458	2086	7213	14370	male
21	515	4648	1245	6029	4469	male
22	794	4426	1052	3517	4860	male
35	1968	6862	2237	10032	6988	male
753	4	5	0	2	7	female
21718	4	15	2	3	32	female
11881	1	5	2	12	16	female
32828	2	2	0	2	14	female
6105	2	22	2	22	28	female
9651	2	22	5	30	66	female
10687	0	2	0	8	6	female
15007	2	3	4	14	22	female
8166	4	9	0	14	22	female
14374	6	19	4	27	44	female
9592	0	25	4	23	27	female
13717	3	15	6	18	46	female
11679	2	20	1	14	20	female
12684	8	14	2	17	32	female
9187	2	4	4	8	13	female
33994	11	18	4	13	29	female
51130	0	20	14	15	39	female
18723	8	29	2	11	16	female
6735	8	13	1	14	14	female
3797	5	5	6	10	14	female
15612	6	9	3	15	13	female
10577	9	12	1	35	18	female
19647	1	6	0	0	3	female
12493	4	5	4	10	14	female
12534	5	17	6	9	31	female
5578	0	14	2	28	22	female
5442	0	3	3	5	18	female
8350	0	3	0	6	8	female
4	732	4236	1041	2960	7103	male
6	1436	2469	909	5657	29622	male
7	1121	4981	683	4553	6697	male
17	1250	9954	2254	13415	11222	male
8	1240	5198	1197	4383	8389	male
16	1607	5271	1277	5056	13523	male
15	1161	4472	939	3714	8242	male
17	3113	5894	1005	5523	10285	male
16	795	4582	1855	7213	14675	male
346	1757	7192	2413	6847	10057	male
17	1075	9089	1839	6915	17878	male
32	1236	7469	1493	7132	10763	male
21	686	2842	569	1987	6742	male
43	1041	1389	167	1035	2417	male
15	3350	2265	458	2382	4411	male
26	1860	6140	996	5915	20071	male
46	916	5640	885	5258	8012	male
7	723	2831	2216	3714	7198	male
44	1433	6268	893	5505	8846	male
15	1058	10964	1897	7414	14757	male
71	1308	8282	1262	6691	11340	male
37	1209	4313	1374	6773	13617	male
32	900	5270	2247	5711	11820	male
22	2428	2248	993	1896	6674	male
7	2744	9458	2347	9334	11267	male
10	618	7024	1901	8010	6111	male
58	615	2853	688	2571	3882	male
4	1280	3060	1191	2514	6805	male
10	593	2022	656	2008	4339	male
21	1434	11260	1455	6530	10976	male
24	4055	2225	515	2097	4345	male
22	1147	6058	784	5674	9596	male
14	1211	6253	1222	7347	9270	male
11	7549	2900	645	2371	5540	male
14	1133	8362	1494	4089	12444	male
1	758	6403	1541	5527	7910	male
25	1614	8337	1143	6144	10097	male
20	957	4504	1676	3177	9494	male
22	998	12046	1444	5422	7454	male
25	1022	6363	1399	6102	10328	male
43	2193	9781	1413	8169	13788	male
46	1136	6446	1411	3532	6443	male
29	1779	7269	1155	5873	9292	male
29	1601	5838	1740	6999	14267	male
15	430	3999	983	3151	9452	male
294	1284	3223	968	10513	4867	male
24	497	2857	1283	3208	11458	male
2	2655	2846	799	2526	8058	male
114	1249	7087	1858	7029	10966	male
31	1435	5247	1063	8454	8128	male
8	412	2285	570	1326	5055	male
5	1085	2256	838	4581	21194	male
9	1265	4463	632	4229	8908	male
17	1089	10256	1920	11293	10419	male
11	1247	1043	456	2464	10150	male
2	1134	1677	452	1979	7647	male
3	1036	2217	470	2093	8833	male
14	1154	1728	461	2186	6700	male
16	560	3165	1266	2724	11806	male
118	835	4387	1130	4100	7541	male
3	1312	9306	2344	11560	19224	male
67	898	9480	1964	9100	9331	male
36	9095	5397	1498	4702	9313	male
4	1513	7262	1491	7421	10484	male
13	1251	5613	1781	6116	15275	male
47	1675	7716	1033	5640	8565	male
14	423	2802	1051	2234	13059	male
253	1472	8298	1256	6979	9590	male
27	1218	7462	1819	9364	17172	male
9	1112	8393	2447	7538	18470	male
11	569	6589	1823	7427	4691	male
11	1566	5705	1453	6231	5818	male
2	711	1603	619	3607	14824	male
